Ghazal ,Meter
"siyāhī jaise gir jāve dam-e taḥrīr kāġhaż par
mirī qismat meñ yūñ taṣvīr hai shab'hā-e hijrāñ kī",G2
"hujūm-e nālah ḥairat ʿājiz-e ʿarẓ-e yak-afġhāñ hai
ḳhamoshī reshah-e ṣad naisitāñ se ḳhas bah dandāñ hai",G2
"ḳhamoshiyoñ meñ tamāshā adā nikaltī hai
nigāh dil se tire surmah sā nikaltī hai",G9
"jis jā nasīm shānah-kash-e zulf-e yār hai
nāfah dimāġh-e āhū-e dasht-e tatār hai",G3
"āʾīnah kyūñ nah dūñ kih tamāshā kaheñ jise
aisā kahāñ se lāʾūñ kih tujh sā kaheñ jise",G3
"shabnam bah gul-e lālah nah ḳhālī z adā hai
dāġh-e dil-e bedard naz̤ar-gāh-e ḥayā hai",G13
"manz̤ūr thī yih shakl tajallī ko nūr kī
qismat khulī tire qad-o-ruḳh se z̤uhūr kī",G3
"ġham khāne meñ bodā dil-e nā-kām bahut hai
yih ranj kih kam hai mai-e gulfām bahut hai",G13
"muddat huʾī hai yār ko mihmāñ kiye huʾe
josh-e qadaḥ se bazm chirāġhāñ kiye huʾe",G3
"naved-e amn hai bedād-e dost jāñ ke liye
rahī nah t̤arz-e sitam koʾī āsmāñ ke liye",G9
